,artist,collab,weight
12378,Waka Flocka Flame,Sean Teezy,4
12379,Sean Teezy,Slim Dunkin,1
12380,Waka Flocka Flame,Jason Ceaser,1
12381,Slim Dunkin,Jason Ceaser,1
12382,Waka Flocka Flame,D-Bo,6
12383,Slim Dunkin,D-Bo,3
12384,Waka Flocka Flame,Big Stacksss,1
12385,Kebo Gotti,Slim Dunkin,1
12386,Kebo Gotti,YG Hootie,1
12387,Slim Dunkin,YG Hootie,1
12388,Waka Flocka Flame,Quez,1
12389,Slim Dunkin,Quez,1
12390,Slim Dunkin,Gucci Mane,3
12391,Lil Capp,Slim Dunkin,2
12392,Lil Capp,D-Bo,1
12393,Waka Flocka Flame,P Ceeze,1
12394,Waka Flocka Flame,Gates,1
12395,Lil Capp,P Ceeze,1
12396,Lil Capp,Gates,1
12397,P Ceeze,Slim Dunkin,1
12398,P Ceeze,Gates,1
12399,Slim Dunkin,Gates,1
12400,Slim Dunkin,Rocko,1
12401,Waka Flocka Flame,Young Joey,1
12402,Slim Dunkin,Young Joey,1
12403,Waka Flocka Flame,Alley Boy,2
12404,Waka Flocka Flame,Trouble,5
12405,Slim Dunkin,Alley Boy,1
12406,Slim Dunkin,Trouble,1
12407,Alley Boy,Trouble,1
12408,Waka Flocka Flame,Rich Kidz,1
12409,Slim Dunkin,Rich Kidz,1
12410,Waka Flocka Flame,YC,1
12411,Waka Flocka Flame,Jody Breeze,1
12412,Slim Dunkin,YC,1
12413,Slim Dunkin,Jody Breeze,1
12414,YC,Jody Breeze,1
12415,Waka Flocka Flame,Bezo Dame,1
12416,Slim Dunkin,Bezo Dame,1
12417,Waka Flocka Flame,Jon Geezy,15
12418,Waka Flocka Flame,La Chat,1
12419,La Chat,Gucci Mane,3
12420,La Chat,Cartel MGM,1
12421,Waka Flocka Flame,GE Da Piolet,1
12422,Waka Flocka Flame,Just Rich Gates,4
12423,OJ Da Juiceman,GE Da Piolet,1
12424,OJ Da Juiceman,Just Rich Gates,1
12425,Gucci Mane,GE Da Piolet,1
12426,Gucci Mane,Just Rich Gates,1
12427,GE Da Piolet,Just Rich Gates,1
12428,Lil Capp,Cartel MGM,1
12429,Waka Flocka Flame,Chasie,1
12430,Chasie,Cartel MGM,1
12431,Waka Flocka Flame,Ju From D4L,2
12432,Waka Flocka Flame,Whodini,1
12433,Waka Flocka Flame,Derez De’Shon,4
12434,Derez De’Shon,Just Rich Gates,1
12435,Waka Flocka Flame,B.o.B,2
12436,Waka Flocka Flame,Kso,1
12437,Waka Flocka Flame,Freddie Cruger,1
12438,Waka Flocka Flame,Jazzy Jeff,1
12439,Waka Flocka Flame,Fresh Prince,1
12440,Freddie Cruger,Jazzy Jeff,1
12441,Freddie Cruger,Fresh Prince,1
12442,Jazzy Jeff,Fresh Prince,1
12443,Waka Flocka Flame,Eldorado Red,4
12444,Waka Flocka Flame,Newphewtexasboy,1
12445,Wooh Da Kid,Newphewtexasboy,1
12446,Waka Flocka Flame,Veli Sosa,1
12447,Trouble,Veli Sosa,1
12448,Waka Flocka Flame,Lil Durk,1
12449,Waka Flocka Flame,Wildhella,1
12450,Waka Flocka Flame,Arman Cekin,1
12451,DJ Whoo Kid,Wildhella,1
12452,DJ Whoo Kid,Arman Cekin,1
12453,Wildhella,Arman Cekin,1
12454,Waka Flocka Flame,Derz Deshon,1
12455,Waka Flocka Flame,Travis Porter,3
12456,Roscoe Dash,Travis Porter,1
12457,Roscoe Dash,Sean Teezy,1
12458,Travis Porter,Sean Teezy,1
12459,Waka Flocka Flame,Boss G,1
12460,Boss G,Tay Don,1
12461,Waka Flocka Flame,Boosie Badazz,2
12462,Waka Flocka Flame,Brick Boy,1
12463,Boosie Badazz,Brick Boy,1
12464,Brick Boy,Gucci Mane,1
12465,Waka Flocka Flame,Yung L.A.,1
12466,Waka Flocka Flame,J. Futuristic,1
12467,Roscoe Dash,Yung L.A.,1
12468,Roscoe Dash,J. Futuristic,1
12469,Waka Flocka Flame,Young Buck,2
12470,Young Buck,French Montana,1
12471,Waka Flocka Flame,Diamond,2
12472,Diamond,Gucci Mane,1
12473,Waka Flocka Flame,Doeshun,1
12474,Waka Flocka Flame,Diego Rulet,1
12475,Diego Rulet,Wooh Da Kid,1
12476,Waka Flocka Flame,The Isley,1
12477,The Isley,Slim Dunkin,1
12478,The Isley,2 Chainz,1
12479,Slim Dunkin,2 Chainz,1
12480,Waka Flocka Flame,Dae Dae Dinro,1
12481,Waka Flocka Flame,Meek Mill,2
12482,Waka Flocka Flame,Dirt Gang,1
12483,Meek Mill,Dirt Gang,1
12484,Meek Mill,Just Rich Gates,1
12485,Dirt Gang,Just Rich Gates,1
12486,Waka Flocka Flame,Sisgo,1
12487,Waka Flocka Flame,YT,1
12488,Waka Flocka Flame,JAIDED,1
12489,YT,JAIDED,1
12490,Waka Flocka Flame,Fastlife Kurt,2
12491,Waka Flocka Flame,Roe,1
12492,Waka Flocka Flame,A$AP Rocky,2
12493,Waka Flocka Flame,Big K.R.I.T.,1
12494,Waka Flocka Flame,Juicy J,1
12495,Big K.R.I.T.,Juicy J,1
12496,Waka Flocka Flame,Migos,2
12497,Chaz Gotti,Gucci Mane,1
12498,Waka Flocka Flame,Azizi Gibson,1
12499,Waka Flocka Flame,Alcohol Motto,1
12500,Waka Flocka Flame,Preme,1
12501,Waka Flocka Flame,Bloody Jay,2
12502,Chaz Gotti,Bloody Jay,1
12503,Chaz Gotti,Migos,1
12504,Bloody Jay,Migos,1
12505,Waka Flocka Flame,Action Bronson & Ludacris,1
12506,Waka Flocka Flame,Paige,1
12507,Waka Flocka Flame,Borgone,1
12508,Paige,Borgone,1
12509,Waka Flocka Flame,Rico Love,1
12510,Waka Flocka Flame,BJ The Chicago Kid,1
12511,Waka Flocka Flame,Ron Browz,1
12512,Waka Flocka Flame,Mouse!,3
12513,Mouse!,P.Smurf,1
12514,Waka Flocka Flame,Blar,1
12515,P.Smurf,Blar,1
12516,Waka Flocka Flame,Chill Will,2
12517,P.Smurf,Chill Will,1
12518,Waka Flocka Flame,Short Dawg,1
12519,Waka Flocka Flame,Young Dose,2
12520,Ice Burgandy,YG Hootie,1
12521,Ice Burgandy,Slim Dunkin,2
12522,Ice Burgandy,P.Smurf,2
12523,Ice Burgandy,Short Dawg,1
12524,Ice Burgandy,Young Dose,1
12525,YG Hootie,P.Smurf,3
12526,YG Hootie,Short Dawg,1
12527,YG Hootie,Young Dose,1
12528,Slim Dunkin,P.Smurf,1
12529,Slim Dunkin,Short Dawg,1
12530,Slim Dunkin,Young Dose,1
12531,P.Smurf,Short Dawg,1
12532,P.Smurf,Young Dose,1
12533,Short Dawg,Young Dose,1
12534,Cartel MGM,P.Smurf,1
12535,P.Smurf,YG Hootie,2
12536,P.Smurf,Ice Burgandy,1
12537,YG Hootie,Ice Burgandy,2
12538,YG Hootie,Wooh Da Kid,1
12539,Ice Burgandy,Frenchie,2
12540,Ice Burgandy,Wooh Da Kid,2
12541,P.Smurf,Frenchie,1
12542,P.Smurf,Wooh Da Kid,1
12543,Waka Flocka Flame,Chinx,4
12544,Slim Dunkin,Chinx,1
12545,Trouble,French Montana,1
12546,Trouble,Chinx,1
12547,Waka Flocka Flame,Prodigy,1
12548,Waka Flocka Flame,DJ Scream,2
12549,Waka Flocka Flame,DJ Spinz,1
12550,Jon Geezy,DJ Scream,1
12551,Jon Geezy,DJ Spinz,1
12552,DJ Scream,DJ Spinz,1
12553,Waka Flocka Flame,Parlae,3
12554,Jon Geezy,Parlae,2
12555,Waka Flocka Flame,Lil Hot,1
12556,Parlae,Jon Geezy,1
12557,Parlae,Lil Hot,1
12558,Jon Geezy,Lil Hot,1
12559,Waka Flocka Flame,Kollosus The Judge,1
12560,Jon Geezy,Kollosus The Judge,1
12561,Frenchie,Jon Geezy,1
12562,Frenchie,Parlae,1
12563,Waka Flocka Flame,Supplya,1
12564,Jon Geezy,Supplya,1
12565,Waka Flocka Flame,Jon Geezy & Doeshun,1
12566,Waka Flocka Flame,Too $hort,1
12567,Waka Flocka Flame,Gepetto,1
12568,Waka Flocka Flame,Giggs,1
12569,Waka Flocka Flame,Macon Hamilton,1
12570,Waka Flocka Flame,Ceddy Lo,1
12571,Waka Flocka Flame,Fettigang,3
12572,Waka Flocka Flame,Lil Chuckee,1
12573,Waka Flocka Flame,L.A. Da Boomman,1
12574,Lil Chuckee,L.A. Da Boomman,1
12575,Waka Flocka Flame,Smeezee,1
12576,Waka Flocka Flame,Snypa Ryfle,1
12577,Smeezee,Snypa Ryfle,1
12578,Waka Flocka Flame,Project Pat,1
